English,Persian
part,بخش
history,تاریخچه
search,جستجو کنید
only,فقط
police,پلیس
thought,فکر کرد
help,کمک کند
request,درخواست کنید
kind,مهربان
month,ماه
brother,برادر
let,اجازه دهید
because,چون
to put,قرار دادن
no,نه
leash,افسار
them,آنها
city,شهر
each,هر کدام
speak,صحبت کنید
come,بیا
should,باید
baby,عزیزم
long time,مدت طولانی
hours,ساعت
will,خواهد شد
while,در حالی که
meet again,دوباره ملاقات کنید
any,هر
square,مربع
speak,صحبت کنید
understood,درک کرد
knew,می دانست
were,بودند
Warning,هشدار
here is,اینجاست
could,توانست
case,مورد
give,دادن
type,نوع
their,آنها
given,داده شده است
train,قطار
body,بدن
place,محل
eyes,چشم
way,راه
listen,گوش کن
whose,که
find,پیدا کردن
first,اول
lost,گمشده
hand,دست
first,اول
side,سمت
power,قدرت
old,قدیمی
be,باشد
here,اینجا
morning,صبح
so much,خیلی
child,کودک
point,نقطه
came,آمد
after,بعد از
sorry,متاسفم
come,بیا
in front of,در مقابل
towards,به سمت
minutes,دقیقه
request,درخواست کنید
bedroom,اتاق خواب
placed,قرار داده شده است
beautiful,زیبا
law,قانون
would like to,می خواهم
today,امروز
husband,شوهر
cause,علت
finally,در نهایت
hope,امید
water,آب
Wait,صبر کن
left,سمت چپ
new,جدید
job,شغل
Stop,توقف کنید
would say,می گفت
Earth,زمین
account,حساب کاربری
given,داده شده است
far,دور
end,پایان
believe,باور کنید
sweetheart,عزیزم
large,بزرگ
rather,بلکه
will have,خواهد داشت
girls,دختران
to play,بازی کردن
office,دفتر
